ID,Nombre Comercial,Plus Code,Correo de Acceso,Contraseña,RIF,Categoría / Rubro,Sector,Banco Pago Móvil,Teléfono Pago Móvil,Cédula / RIF Pago Móvil,Beneficiario / Titular,Teléfono Contacto,Coordenadas GPS,Reputación,Ventas,Productos / Menú Registrado
1,Plaza Andrés Mata (Las Palomas),769HJ343+6C,palomas@paseomacuto.com,comercio123,G-20000101-1,Sitio Histórico y Recreativo,Sector Palomas (Oeste),Banco de Venezuela (0102),0412-1010101,V-11223344,Plaza Las Palomas Macuto,+58 412 1010101,"10.605559, -66.896513",4.85,85,Bolsita de Maíz para Palomas ($1.00) | Foto Polarizada del Recuerdo con Palomas ($3.50) | Agua Mineral Helada 600ml ($1.00)
2,Parque Infantil Macuto,769HJ343+7F,parqueinfantil@paseomacuto.com,comercio123,G-20000102-2,Recreación Familiar,Sector Palomas (Oeste),Banesco (0134),0414-1020202,V-12345678,Parque Infantil Paseo Macuto,+58 414 1020202,"10.605683, -66.896260",4.75,120,Alquiler de Carrito Eléctrico (20 min) ($4.00) | Algodón de Azúcar Playero Gigante ($2.00) | Entrada Inflable Brincabrinca (30 min) ($3.00)
3,Bar Restaurant La Gaviota,769HJ343+9J,gaviota@paseomacuto.com,comercio123,J-31456789-0,Gastronomía y Bebidas,Sector Palomas (Oeste),Banco Mercantil (0105),0416-3030303,J-31456789,Bar Restaurant La Gaviota,+58 416 3030303,"10.605911, -66.895918",4.90,431,Fosforera Playera La Gaviota ($12.00) | Tostón Playero Especial con Queso y Ensalada ($6.50) | Cóctel Coco Loco Tropical ($5.00)
4,CONPPA Paseo Macuto,769HJ344+J5,conppa@paseomacuto.com,comercio123,G-20045612-4,Pescadores y Servicios Marítimos,Sector Pescadores,Banco de Venezuela (0102),0424-4040404,G-20045612,CONPPA Paseo Macuto,+58 424 4040404,"10.606525, -66.894568",4.90,611,Paseo en Peñero por la Bahía (por persona) ($10.00) | Kilo de Rueda de Carite Fresco del Día ($7.00) | Tour de Pesca Artesanal de Fondo (2 horas) ($25.00)
5,El Sabor de los Pataru,769HJ344+G6,pataru@paseomacuto.com,comercio123,V-14892341-2,Comida Rápida y Típica,Sector Pescadores,Bancamiga (0172),0412-5050505,V-14892341,Empanadas El Sabor de los Pataru,+58 412 5050505,"10.606273, -66.894507",4.90,951,Empanada Gigante de Cazón Tradicional ($2.00) | Empanada Mixta de Camarón y Queso Paisa ($3.00) | Jarra de Papelón con Limón Frío ($2.50)
6,Hotel Colonial Macuto,769HJ344+96,hotelcolonial@paseomacuto.com,comercio123,J-00124589-9,Hospedaje y Posada,Sector Tradicional,BBVA Provincial (0108),0414-2551200,J-00124589,Hotel Colonial Macuto,+58 212 3551200,"10.605957, -66.894396",4.65,180,Habitación Matrimonial Vista al Mar (Noche) ($45.00) | Pasadía Familiar con Uso de Instalaciones ($15.00) | Desayuno Criollo Colonial ($6.00)
7,Fuente de Santa Ana de Macuto,769HJ344+77,santaana@paseomacuto.com,comercio123,G-20099900-5,Monumento y Paseo,Sector Tradicional,Banco Bicentenario (0175),0414-0001122,V-15443322,Artesanías Fuente Santa Ana,+58 414 0001122,"10.605724, -66.894366",4.90,50,Collar Artesanal de Caracoles y Perlas ($5.00) | Sombrero Playero de Paja Tejido ($8.00) | Imán de Nevera Escultura Santa Ana ($2.50)
8,Pescadería Macuto Mar y Sabor,769HJ344+67,pescaderia@paseomacuto.com,comercio123,V-16782390-3,Pescadería y Marisquería,Sector Tradicional,Banco Nacional de Crédito BNC (0191),0416-7070707,V-16782390,Pescadería Macuto Mar y Sabor,+58 416 7070707,"10.605587, -66.894380",3.45,310,Kilo de Pargo Rojo Entero Eviscerado ($9.50) | Kilo de Calamares Limpios ($8.00) | Combo Marino Surtido para Sopa (1.5 Kg) ($11.00)
9,Playa Macuto - Sector Toldos Oeste,769HJ344+M9,toldosoeste@paseomacuto.com,comercio123,V-19821034-7,Toldos y Servicios Playeros,Sector Balneario Central,Banco de Venezuela (0102),0424-9090909,V-19821034,Toldos Playa Macuto Oeste,+58 424 9090909,"10.606673, -66.894027",4.75,820,Alquiler Toldo Playero + 2 Sillas Confort ($15.00) | Tobito Playero con 6 Cervezas Nacionales Polar ($8.00) | Silla Reclinable Extra para Acompañante ($4.00)
10,Farmacia Macuvet y Playa,769HJ344+GC,macuvet@paseomacuto.com,comercio123,J-40556677-1,Salud y Farmacia,Sector Balneario Central,Banesco (0134),0412-3552233,J-40556677,Farmacia Macuvet y Playa,+58 212 3552233,"10.606327, -66.893618",4.85,240,Protector Solar SPF 50 Resistente al Agua 120ml ($9.00) | Gel Refrescante de Aloe Vera Post-Solar ($5.50) | Kit Primeros Auxilios Playero ($6.00)
11,Paseo La Playa Boulevar,769HJ344+QC,boulevard@paseomacuto.com,comercio123,G-20077889-0,Paseo Turístico y Heladerías,Sector Balneario Central,Bancaribe (0114),0412-0011223,V-17882211,Heladería y Dulcería Boulevar,+58 412 0011223,"10.606897, -66.893628",4.80,540,Cepillado Tradicional de Tamarindo y Colita ($1.50) | Helado Cremoso de Coco en Vaso Doble ($2.50) | Chicha Criolla con Canela y Leche Condensada ($2.00)
12,Balneario Macuto Sector A,769HJ344+RR,balneario@paseomacuto.com,comercio123,V-15678432-8,Balneario y Entretenimiento,Sector Balneario Central,Banco Mercantil (0105),0414-2233445,V-15678432,Concesión Balneario Macuto A,+58 414 2233445,"10.607071, -66.893076",4.65,1100,Pase de Entrada Balneario Familiar (4 Personas) ($5.00) | Alquiler Flotador Salvavidas para Niños ($3.00) | Guardarropa / Casillero Seguro (Día Completo) ($2.00)
13,Bar Restaurant Macuto II,769HJ344+HQ,macuto2@paseomacuto.com,comercio123,J-30987654-2,Gastronomía y Pescados,Sector Balneario Central,Banesco (0134),0412-3554411,J-30987654,Bar Restaurant Macuto II,+58 212 3554411,"10.606467, -66.893245",4.90,740,Rueda de Carite Frito con Tostones y Tártara ($11.00) | Hervido de Pescado Criollo Sabatino ($7.50) | Camarones al Ajillo en Cazuela de Barro ($13.00)
14,Quiosco Sol y Arena Balneario,769HJ344+RP,solyarena@paseomacuto.com,comercio123,V-20112445-9,Snacks y Bebidas,Sector Balneario Central,Banco de Venezuela (0102),0424-5566778,V-20112445,Quiosco Sol y Arena Balneario,+58 424 5566778,"10.607033, -66.893112",4.60,190,Coco Frío Natural con Pitillo ($1.50) | Paquete de Platanitos Fritos con Salsa Rosada ($2.00) | Refresco de Lata 355ml Frío ($1.50)
15,Restaurant Sol Y Mar,769HJ344+MW,solymar@paseomacuto.com,comercio123,J-40112233-4,Gastronomía y Marisquería,Sector Paseo Este,Bancamiga (0172),0414-3553388,J-40112233,Inversiones Restaurant Sol Y Mar,+58 212 3553388,"10.606701, -66.892731",4.90,890,Paella Marinera Valenciana Especial (Para 2) ($28.00) | Asopado de Mariscos 7 Mares ($14.00) | Copa de Sangría Marina de la Casa ($4.50)
16,Hotel Jofer Macuto,769HJ344+PW,hoteljofer@paseomacuto.com,comercio123,J-29871100-8,Hospedaje y Turismo,Sector Paseo Este,Banco Nacional de Crédito BNC (0191),0416-3552900,J-29871100,Hotel Jofer Macuto,+58 212 3552900,"10.606777, -66.892658",4.75,310,Suite Familiar con Balcón y Piscina (Noche) ($60.00) | Pase de Día a la Piscina del Hotel ($10.00) | Hamburguesa Especial Jofer con Papas ($6.50)
17,Playa Macuto Sector Este,769HJ345+MG,playaeste@paseomacuto.com,comercio123,V-18774433-1,Toldos y Actividades Acuáticas,Sector Paseo Este,Banco Exterior (0115),0414-7788990,V-18774433,Servicios Playa Macuto Este,+58 414 7788990,"10.606667, -66.892500",4.70,670,Combo Playero: Toldo + 2 Sillas + Cava con Hielo ($16.00) | Alquiler de Tabla Bodyboard (1 hora) ($5.00) | Bolsa de Hielo en Cubos 5 Kg ($2.50)
18,Mirador Paseo de Macuto,769HJ355+43,mirador@paseomacuto.com,comercio123,G-20033441-2,Mirador y Artesanías,Sector Paseo Este,Banco Digital de los Trabajadores BDT (0163),0416-9988776,V-13221199,Mirador Turístico Paseo Macuto,+58 416 9988776,"10.607880, -66.892303",4.90,410,"Franela Oficial Algodón ""Paseo Macuto La Guaira"" ($10.00) | Gorra Bordada La Guaira Costa Bonita ($7.00) | Artesanía en Madera Flotante Tallada a Mano ($12.00)"
19,La Guaira Paddle Surf & Kayak,769HJ355+FM,paddlesurf@paseomacuto.com,comercio123,J-50119988-6,Deportes Acuáticos y Aventura,Sector Náutico Este,Banesco (0134),0412-3456789,J-50119988,La Guaira Paddle Surf & Kayak,+58 412 3456789,"10.608699, -66.892100",5.00,520,Clase de Stand Up Paddle (1 hora con Instructor) ($20.00) | Alquiler de Kayak Doble (1 hora) ($18.00) | Tour Guiado en Paddle al Atardecer (Sunset Paddle) ($25.00)
